session_id,worker_id,device_id,camera_track_id,camera_id,baseline_activity,baseline_confidence,stgcn_activity,stgcn_confidence,vision_timestamp,android_timestamp,backend_receive_time,mobile_backend_receive_time,vision_age_ms,mobile_age_ms,source_time_delta_ms,mobile_missing,mobile_stale,connection_state,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gps_missing
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,standing,0.5089451670646667,2026-08-16T13:55:15.275806Z,2026-08-16T13:55:15.202000Z,2026-08-16T13:55:15.229449Z,2026-08-16T13:55:14.517475Z,-46.357,-684.525,73.806,False,False,connected,-0.128164604306221,-9.782633781433104,-0.2250549644231796,-0.0050294790416955,-0.0355727411806583,-0.001865237369202,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,idle,0.501883864402771,2026-08-16T13:55:15.463693Z,2026-08-16T13:55:15.420000Z,2026-08-16T13:55:15.422817Z,2026-08-16T13:55:14.646913Z,-40.876,-773.087,43.693,False,False,connected,-0.290072500705719,-9.715147018432615,-0.0697311237454414,-0.0030643185600638,0.0177530627697706,-0.0130733149126172,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,idle,0.5110293626785278,2026-08-16T13:55:15.682320Z,2026-08-16T13:55:15.629000Z,2026-08-16T13:55:15.631045Z,2026-08-16T13:55:14.857154Z,-51.275,-771.846,53.32,False,False,connected,-0.2436848431825637,-9.816301345825195,-0.2166004329919815,0.0124904289841651,0.0319921523332595,0.0015488131903111,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,idle,0.5157676339149475,2026-08-16T13:55:15.943968Z,2026-08-16T13:55:15.976000Z,2026-08-16T13:55:15.895016Z,2026-08-16T13:55:15.199095Z,-48.952,-776.905,-32.032,False,False,connected,-0.2928408086299896,-9.759289741516112,0.1594388633966446,-0.0045798239298164,0.0327748842537403,0.0152216693386435,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,idle,0.5132678747177124,2026-08-16T13:55:16.101016Z,2026-08-16T13:55:16.085000Z,2026-08-16T13:55:16.101278Z,2026-08-16T13:55:15.305326Z,0.262,-779.674,16.016,False,False,connected,-0.1072153449058532,-9.784953117370604,-0.2584989666938782,-0.0354395098984241,0.0395197160542011,-0.0132065461948513,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,idle,0.5103604197502136,2026-08-16T13:55:16.255720Z,2026-08-16T13:55:16.293000Z,2026-08-16T13:55:16.209078Z,2026-08-16T13:55:15.562752Z,-46.642,-730.248,-37.28,False,False,connected,-0.1812859624624252,-9.781136512756348,0.1022773012518882,0.0080271819606423,-0.0323085747659206,0.0199680309742689,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,idle,0.5062933564186096,2026-08-16T13:55:16.387853Z,2026-08-16T13:55:16.293000Z,2026-08-16T13:55:16.342843Z,2026-08-16T13:55:15.562752Z,-45.01,-730.248,94.853,False,False,connected,-0.1812859624624252,-9.781136512756348,0.1022773012518882,0.0080271819606423,-0.0323085747659206,0.0199680309742689,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,idle,0.5015073418617249,2026-08-16T13:55:16.607854Z,2026-08-16T13:55:16.601000Z,2026-08-16T13:55:16.628740Z,2026-08-16T13:55:15.826759Z,20.886,-774.241,6.854,False,False,connected,-0.2923918962478637,-9.77941608428955,0.0014215572737157,-0.0003330780891701,-0.0370049774646759,0.0109083075076341,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,standing,0.5044911503791809,2026-08-16T13:55:16.855993Z,2026-08-16T13:55:16.829000Z,2026-08-16T13:55:16.810968Z,2026-08-16T13:55:16.087726Z,-45.025,-741.274,26.993,False,False,connected,-0.1524807214736938,-9.778966903686523,-0.0884358286857605,0.0001332312385784,-0.026912709698081,-0.0066449078731238,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,standing,0.5113964676856995,2026-08-16T13:55:17.086213Z,2026-08-16T13:55:17.047000Z,2026-08-16T13:55:17.041973Z,2026-08-16T13:55:16.274181Z,-44.24,-772.819,39.213,False,False,connected,-0.2399439066648483,-9.782184600830078,-0.0507271476089954,-0.0020817380864173,-0.0252306666225194,0.0056789815425872,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,standing,0.5189828872680664,2026-08-16T13:55:17.229597Z,2026-08-16T13:55:17.255000Z,2026-08-16T13:55:17.178479Z,2026-08-16T13:55:16.481004Z,-51.118,-773.996,-25.403,False,False,connected,-0.1381903290748596,-9.794903755187988,-0.1194856315851211,-0.0028644716367125,-0.0188688747584819,0.0078606428578495,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,material_handling,1.0,standing,0.5274489521980286,2026-08-16T13:55:17.340620Z,2026-08-16T13:55:17.364000Z,2026-08-16T13:55:17.296393Z,2026-08-16T13:55:16.612353Z,-44.227,-751.647,-23.38,False,False,connected,-0.3127425909042358,-9.802535057067873,-0.100032739341259,-0.0078772967681288,-0.0183692574501037,-0.0017153521766886,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5358837842941284,2026-08-16T13:55:17.521874Z,2026-08-16T13:55:17.573000Z,2026-08-16T13:55:17.472815Z,2026-08-16T13:55:16.795730Z,-49.059,-777.27,-51.126,False,False,connected,-0.2136076837778091,-9.807622909545898,-0.0825251415371894,-0.0188855286687612,0.0061952527612447,-0.0030809724703431,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5429414510726929,2026-08-16T13:55:17.624588Z,2026-08-16T13:55:17.573000Z,2026-08-16T13:55:17.580052Z,2026-08-16T13:55:16.795730Z,-44.536,-777.27,51.588,False,False,connected,-0.2136076837778091,-9.807622909545898,-0.0825251415371894,-0.0188855286687612,0.0061952527612447,-0.0030809724703431,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5474037528038025,2026-08-16T13:55:17.788252Z,2026-08-16T13:55:17.781000Z,2026-08-16T13:55:17.742817Z,2026-08-16T13:55:17.002720Z,-45.435,-778.28,7.252,False,False,connected,-0.2723404467105865,-9.810989379882812,-0.0731727927923202,0.0097924964502453,-0.0180694870650768,0.0111747700721025,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5501108765602112,2026-08-16T13:55:17.916251Z,2026-08-16T13:55:17.900000Z,2026-08-16T13:55:17.875076Z,2026-08-16T13:55:17.140048Z,-41.175,-759.952,16.251,False,False,connected,-0.3111714124679565,-9.780313491821287,-0.0749684423208236,-0.0321420356631279,0.0166372507810592,0.010108919814229,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5513989329338074,2026-08-16T13:55:18.054018Z,2026-08-16T13:55:18.118000Z,2026-08-16T13:55:18.007301Z,2026-08-16T13:55:17.339080Z,-46.717,-778.92,-63.982,False,False,connected,-0.1663970202207565,-9.79640007019043,-0.0474351197481155,-0.0095260338857769,-0.0035306278150528,0.0035472817253321,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5522738099098206,2026-08-16T13:55:18.268169Z,2026-08-16T13:55:18.228000Z,2026-08-16T13:55:18.225076Z,2026-08-16T13:55:17.446045Z,-43.093,-781.955,40.169,False,False,connected,-0.199092835187912,-9.785551071166992,-0.1480664163827896,-0.0024814319331198,-0.0096259573474526,-0.0017819678178057,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5527523159980774,2026-08-16T13:55:18.398031Z,2026-08-16T13:55:18.436000Z,2026-08-16T13:55:18.352332Z,2026-08-16T13:55:17.660146Z,-45.699,-775.854,-37.969,False,False,connected,-0.2438344806432724,-9.752032279968262,-0.1750759929418563,-0.0274955965578556,-0.043533306568861,0.0043133613653481,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5528011322021484,2026-08-16T13:55:18.551021Z,2026-08-16T13:55:18.644000Z,2026-08-16T13:55:18.505684Z,2026-08-16T13:55:17.860199Z,-45.337,-783.801,-92.979,False,False,connected,-0.1475426852703094,-9.756896018981934,-0.0056862290948629,0.0241981241852045,0.0405689105391502,-0.0081271054223179,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5520728230476379,2026-08-16T13:55:18.702819Z,2026-08-16T13:55:18.753000Z,2026-08-16T13:55:18.725431Z,2026-08-16T13:55:17.971282Z,22.612,-781.718,-50.181,False,False,connected,-0.1705868691205978,-9.813084602355955,-0.1521066278219223,-0.0127735454589128,0.0096925729885697,0.0055124424397945,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5506440997123718,2026-08-16T13:55:18.935366Z,2026-08-16T13:55:18.971000Z,2026-08-16T13:55:18.887846Z,2026-08-16T13:55:18.195249Z,-47.52,-775.751,-35.634,False,False,connected,-0.2585737705230713,-9.77126121520996,-0.2047790586948394,0.0120740812271833,-0.0301935300230979,-0.0002997702977154,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5492960214614868,2026-08-16T13:55:19.109922Z,2026-08-16T13:55:19.080000Z,2026-08-16T13:55:19.063231Z,2026-08-16T13:55:18.303304Z,-46.691,-776.696,29.922,False,False,connected,-0.2027589529752731,-9.76759433746338,-0.1517325341701507,1.6653904822305776e-05,0.0001998468651436,0.0027812020853161,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5481709837913513,2026-08-16T13:55:19.235410Z,2026-08-16T13:55:19.288000Z,2026-08-16T13:55:19.295823Z,2026-08-16T13:55:18.512279Z,60.413,-775.721,-52.59,False,False,connected,-0.2427121996879577,-9.799467086791992,-0.1550993770360946,0.0072944103740155,-0.0019984685350209,-0.0035306278150528,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5470098853111267,2026-08-16T13:55:19.517812Z,2026-08-16T13:55:19.497000Z,2026-08-16T13:55:19.470388Z,2026-08-16T13:55:18.718926Z,-47.424,-778.074,20.812,False,False,connected,-0.374094009399414,-9.773056983947754,-0.1443254649639129,0.0018485834589228,-0.0283282920718193,0.0075775268487632,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5466910004615784,2026-08-16T13:55:19.632044Z,2026-08-16T13:55:19.606000Z,2026-08-16T13:55:19.590589Z,2026-08-16T13:55:18.823252Z,-41.455,-782.748,26.044,False,False,connected,-0.2498199790716171,-9.788020133972168,-0.1984942853450775,0.001215735101141,-0.0099590346217155,-0.011208077892661,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.546266496181488,2026-08-16T13:55:19.817971Z,2026-08-16T13:55:19.815000Z,2026-08-16T13:55:19.770940Z,2026-08-16T13:55:19.035039Z,-47.031,-779.961,2.971,False,False,connected,-0.1901145726442337,-9.784728050231934,-0.1806874126195907,0.0035972434561699,0.0521100685000419,-0.0065283305011689,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5457744598388672,2026-08-16T13:55:19.928108Z,2026-08-16T13:55:19.914000Z,2026-08-16T13:55:19.885787Z,2026-08-16T13:55:19.141282Z,-42.321,-772.718,14.108,False,False,connected,-0.2088941037654876,-9.798195838928224,-0.1253963112831115,0.000932618684601,0.0121073890477418,0.0031808959320187,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5452892780303955,2026-08-16T13:55:20.066624Z,2026-08-16T13:55:20.042000Z,2026-08-16T13:55:20.022161Z,2026-08-16T13:55:19.269202Z,-44.463,-772.798,24.624,False,False,connected,-0.2553565800189972,-9.767146110534668,-0.141931265592575,-0.0246144719421863,0.0147553598508238,0.0075109112076461,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,idle,0.85,standing,0.5449594259262085,2026-08-16T13:55:20.230121Z,2026-08-16T13:55:20.261000Z,2026-08-16T13:55:20.184247Z,2026-08-16T13:55:19.484980Z,-45.874,-776.02,-30.879,False,False,connected,-0.2253542393445968,-9.807099342346191,-0.1894412040710449,-0.0006161945057101,-0.004796324763447,-0.0001165773355751,False
