frame,video_time_sec,segment_id,segment_description,ground_truth,prediction,correct,primary_track_present,raw_activity,smoothed_activity,semantic_activity
209,18.909091,2,Idle,idle,idle,1,1,idle,idle,idle
210,19.000000,2,Idle,idle,idle,1,1,idle,idle,idle
211,19.090909,2,Idle,idle,idle,1,1,idle,idle,idle
212,19.181818,2,Idle,idle,idle,1,1,idle,idle,idle
213,19.272727,2,Idle,idle,idle,1,1,idle,idle,idle
214,19.363636,2,Idle,idle,idle,1,1,idle,idle,idle
215,19.454545,2,Idle,idle,idle,1,1,idle,idle,idle
216,19.545455,2,Idle,idle,idle,1,1,idle,idle,idle
217,19.636364,2,Idle,idle,idle,1,1,idle,idle,idle
218,19.727273,2,Idle,idle,idle,1,1,idle,idle,idle
219,19.818182,2,Idle,idle,idle,1,1,idle,idle,idle
220,19.909091,2,Idle,idle,idle,1,1,idle,idle,idle
232,21.000000,3,Walking,walking,idle,0,1,idle,idle,idle
233,21.090909,3,Walking,walking,idle,0,1,idle,idle,idle
234,21.181818,3,Walking,walking,idle,0,1,idle,idle,idle
235,21.272727,3,Walking,walking,idle,0,1,idle,idle,idle
236,21.363636,3,Walking,walking,idle,0,1,idle,idle,idle
237,21.454545,3,Walking,walking,idle,0,1,idle,idle,idle
238,21.545455,3,Walking,walking,idle,0,1,idle,idle,idle
239,21.636364,3,Walking,walking,idle,0,1,standing,idle,idle
240,21.727273,3,Walking,walking,idle,0,1,standing,idle,idle
241,21.818182,3,Walking,walking,idle,0,1,standing,idle,idle
242,21.909091,3,Walking,walking,idle,0,1,standing,idle,idle
243,22.000000,3,Walking,walking,standing,0,1,standing,standing,standing
244,22.090909,3,Walking,walking,standing,0,1,standing,standing,standing
245,22.181818,3,Walking,walking,standing,0,1,standing,standing,standing
246,22.272727,3,Walking,walking,standing,0,1,standing,standing,standing
247,22.363636,3,Walking,walking,standing,0,1,walking,standing,standing
248,22.454545,3,Walking,walking,standing,0,1,walking,standing,standing
249,22.545455,3,Walking,walking,standing,0,1,walking,standing,standing
250,22.636364,3,Walking,walking,standing,0,1,walking,standing,standing
251,22.727273,3,Walking,walking,walking,1,1,walking,walking,walking
252,22.818182,3,Walking,walking,walking,1,1,walking,walking,walking
253,22.909091,3,Walking,walking,walking,1,1,walking,walking,walking
254,23.000000,3,Walking,walking,walking,1,1,walking,walking,walking
255,23.090909,3,Walking,walking,walking,1,1,walking,walking,walking
256,23.181818,3,Walking,walking,walking,1,1,walking,walking,walking
257,23.272727,3,Walking,walking,walking,1,1,walking,walking,walking
258,23.363636,3,Walking,walking,walking,1,1,walking,walking,walking
259,23.454545,3,Walking,walking,walking,1,1,walking,walking,walking
260,23.545455,3,Walking,walking,walking,1,1,walking,walking,walking
261,23.636364,3,Walking,walking,walking,1,1,walking,walking,walking
262,23.727273,3,Walking,walking,walking,1,1,walking,walking,walking
263,23.818182,3,Walking,walking,walking,1,1,walking,walking,walking
264,23.909091,3,Walking,walking,walking,1,1,walking,walking,walking
265,24.000000,3,Walking,walking,walking,1,1,walking,walking,walking
266,24.090909,3,Walking,walking,walking,1,1,walking,walking,walking
