timestamp,frame,track_id,raw_activity,smoothed_activity,confidence,velocity,ankle_motion,torso_angle,knee_angle
1786653863.311505,928,1,bending,bending,1.0,0.12906003312029374,0.11650873978889144,67.86288156973406,135.31718041604753
1786653863.3539438,929,1,bending,bending,1.0,0.13390263371963704,0.10579955951854536,62.916553635719765,137.88308511624683
1786653863.3890684,930,1,bending,bending,0.9563769674374818,0.13428689965401425,0.10144554194033979,57.38261804624891,140.71152945313932
1786653863.4359484,931,1,bending,bending,0.8444266440909817,0.13658066586236098,0.09539401778828956,50.6655986454589,144.58345674697853
1786653863.4738603,932,1,bending,bending,0.7226187807202955,0.12542858889765995,0.07808146159832431,43.35712684321773,147.92171867085062
1786653863.6185672,933,1,bending,bending,0.5974373943579245,0.12832064179464744,0.0825273792971909,35.84624366147547,152.53534878235607
1786653863.7800527,934,1,walking,bending,0.6,0.08656328605798896,0.05245669354787089,28.173697058156666,157.58841067860286
1786653863.8663278,935,1,standing,bending,0.75,0.07142622581320554,0.03359322577380141,20.995953491422455,159.61673583563388
1786653863.9619796,936,1,standing,bending,0.75,0.06115292531190161,0.030423655997972462,15.872000182722948,163.29056058309237
1786653864.0524018,937,1,standing,bending,0.75,0.05290326976542374,0.025612968028931423,11.472189624689893,166.52635717010705
1786653864.109376,938,1,standing,bending,0.75,0.04075692157224895,0.023127900658287275,8.385111921947294,168.75724140841066
1786653864.1534343,939,1,standing,standing,0.75,0.030309755078285323,0.022162835618981813,5.7747436130746,169.89447386687343
1786653864.1878576,940,1,standing,standing,0.75,0.02412315580487643,0.024259006465265937,3.6823708678071263,170.72648978286026
1786653864.3447454,941,1,standing,standing,0.75,0.021712574327379212,0.022495850984330434,2.507013965102639,170.9346937810446
1786653864.387143,942,1,standing,standing,0.75,0.02056023351077067,0.025578552864751528,1.6689966199932467,171.46134509101398
1786653864.4298005,943,1,standing,standing,0.75,0.019006157719691268,0.02587843722746362,1.2887251076707962,171.63314049913194
1786653864.4701276,944,1,standing,standing,0.75,0.018037772690703807,0.02819554742584349,1.0622725523607497,171.25352308268444
1786653864.5073187,945,1,standing,standing,0.75,0.020947886922890197,0.033003581543332265,1.1288889646821851,170.89506450351539
1786653864.5423083,946,1,standing,standing,0.75,0.022583375747228834,0.0350977524147992,1.468936857316701,170.49679481249433
1786653864.577689,947,1,standing,standing,0.75,0.02497808921992463,0.03795629090164941,1.9263947502525531,170.27042197316598
1786653864.6578584,948,1,standing,standing,0.75,0.031058386631335935,0.04295608012034408,2.360062879790616,169.5110767872374
1786653864.6969287,949,1,standing,standing,0.75,0.03795997436620015,0.042034266845137634,3.1397154411505874,169.09321219532768
1786653864.741025,950,1,standing,standing,0.75,0.04066262787308242,0.046723766635525354,4.268099396060718,168.89235556094002
1786653864.7794294,951,1,standing,standing,0.75,0.04403357385176064,0.04061194282673394,5.716432460908193,169.24284791092373
1786653864.815779,952,1,standing,standing,0.75,0.046602790110041696,0.0427129940467922,7.680830493241176,168.52837064589863
1786653864.864679,953,1,standing,standing,0.75,0.05445411804794229,0.05056038564475993,9.423804912355806,168.309455417817
1786653864.9414244,954,1,standing,standing,0.75,0.05888893873906387,0.05775124400087924,11.480390056943355,167.94047597315932
1786653865.003195,955,1,walking,standing,0.6,0.06802949596561744,0.07062638410101713,14.190684916865294,167.75619437722872
1786653865.054706,956,1,walking,standing,0.6,0.08016247092619858,0.08325218919223144,17.373104711861252,167.62368454421963
1786653865.1099665,957,1,walking,standing,0.624166705729556,0.11089249004770362,0.11235000703132009,21.99276856688825,166.55139206201062
1786653865.1667418,958,1,walking,standing,0.7322657493125518,0.15709894554925774,0.13180783487625933,28.271761801778354,163.98063847969607
1786653865.2248788,959,1,bending,walking,0.5924146107497003,0.17414432389079565,0.14419975247690284,35.54487664498202,160.3067931324172
